Date,Category,Rejected Cat 1,Rejected Cat 2,Puzzle,Letters,Prize,Win?,Notes,Season
"October 17, 2005",Person,NA,NA,MOVIE BUFF,H M F I,Chevrolet Trailblazer,Yes,NA,23
"October 18, 2005",Phrase,NA,NA,THE GLOVES ARE OFF,F C D A,"$25,000",No,NA,23
"October 19, 2005",Event,NA,NA,JOB-HUNTING,H D G O,"$35,000",No,NA,23
"October 20, 2005",Living Things,NA,NA,BEGONIAS,C D B O,Land Rover,Yes,NA,23
"October 21, 2005",Living Thing,NA,NA,SKUNK,B P G O,Toyota 4Runner,Yes,NA,23
"October 24, 2005",Phrase,NA,NA,ROOM & BOARD,P G C A,Ford Fusion,No,NA,23
"October 25, 2005",On the Menu,NA,NA,BIG GULP,C D M O,"$25,000",No,NA,23
"October 26, 2005",Thing,NA,NA,FALL FOLIAGE,C M P O,"$50,000",No,NA,23
"October 27, 2005",Thing,NA,NA,PHILOSOPHY,P H G A,Ford Explorer,Yes,NA,23
"October 28, 2005",Thing,NA,NA,BIKE LOCK,B D G O,Ford Fusion,Yes,NA,23
"October 31, 2005",Person,NA,NA,UNSUNG HERO,C D A P,"$25,000",Yes,NA,23
"November 1, 2005",Phrase,NA,NA,FOUL TROUBLE,D C M I,"$45,000",Yes,NA,23
"November 2, 2005",Things,NA,NA,GYM SOCKS,C M P A,Toyota Sequoia,Yes,NA,23
"November 3, 2005",Phrase,NA,NA,HOT HAND,G B D O,"$25,000",No,NA,23
"November 4, 2005",Things,NA,NA,JUMPING JACKS,D M H O,Toyota Sequoia,No,NA,23
"November 7, 2005",Thing,NA,NA,PIZZA OVEN,D H P O,Nissan 350 Z,No,NA,23
"November 8, 2005",Living Thing,NA,NA,HALIBUT,M D P A,"$25,000",No,NA,23
"November 9, 2005",On the Menu,NA,NA,CHOW MEIN,D H B A,"$25,000",Yes,NA,23
"November 10, 2005",Phrase,NA,NA,FULL-FLAVORED,C D G A,"$25,000",No,NA,23
"November 11, 2005",Things,NA,NA,HUNGER PANGS,C D M I,"$25,000",No,NA,23
"November 14, 2005",Event,NA,NA,BIG BASH,H P D I,"$100,000",Yes,NA,23
"November 15, 2005",Thing,NA,NA,HUMIDITY,M D B O,"$25,000",No,NA,23
"November 16, 2005",On the Menu,NA,NA,PEACH DAIQUIRI,C M H A,Chrysler Crossfire,No,NA,23
"November 17, 2005",Phrase,NA,NA,A LAUGH RIOT,C D P A,"$25,000",No,NA,23
"November 18, 2005",Event,NA,NA,TAKING A WEEK OFF,G D P A,"$50,000",No,NA,23
"November 21, 2005",Fictional Character,NA,NA,BUZZ LIGHTYEAR,P A M D,"$100,000",Yes,NA,23
"November 22, 2005",Thing,NA,NA,KEY CHAIN,P M D A,"$35,000",No,NA,23
"November 23, 2005",Thing,NA,NA,GOLDFISH BOWL,A D M P,Scion xB,No,NA,23
"November 24, 2005",Phrase,NA,NA,GROW UP,M P D O,Scion xB,Yes,NA,23
"November 25, 2005",Thing,NA,NA,BIOLOGY,C G A P,Scion xB,No,NA,23
"November 28, 2005",Thing,NA,NA,FOLK TALE,C D H I,"$40,000",Yes,NA,23
"November 29, 2005",Phrase,NA,NA,I'M DRAWING A BLANK,D C H O,"$25,000",No,NA,23
"November 30, 2005",Around the House,NA,NA,MAKEUP BRUSH,H M F O,"$30,000",No,NA,23
"December 1, 2005",Thing,NA,NA,PLYWOOD,H C G A,Chrysler 300,No,NA,23
"December 2, 2005",Best Seller,NA,NA,JOY OF COOKING,D H M I,Nissan Murano,No,NA,23
"December 5, 2005",Thing,NA,NA,HORIZON,F H P O,Volvo XC90,No,NA,23
"December 6, 2005",Living Thing,NA,NA,WATCHDOG,D C M O,Nissan 350Z,Yes,NA,23
"December 7, 2005",Title,NA,NA,VANITY FAIR,H Y C A,"$100,000",No,NA,23
"December 8, 2005",On the Map,NA,NA,BURBANK,D P F I,"$25,000",No,NA,23
"December 9, 2005",Show Biz,NA,NA,JUGGLER,D C G U,"$25,000",Yes,NA,23
"December 12, 2005",Phrase,NA,NA,ZOOM IN,I C P M,"$40,000",No,NA,23
"December 13, 2005",Phrase,NA,NA,HANG BACK,K D P I,"$30,000",No,NA,23
"December 14, 2005",Around the House,NA,NA,OAK BUREAU,C D G A,Jaguar X-Type,No,NA,23
"December 15, 2005",Things,NA,NA,SKI GOGGLES,K C G I,"$30,000",Yes,NA,23
"December 16, 2005",Phrase,NA,NA,THINK FAST,H K F A,Jaguar X-Type,Yes,NA,23
"December 19, 2005",Phrase,NA,NA,HUNKER DOWN,B G M A,"$25,000",No,NA,23
"December 20, 2005",Phrase,NA,NA,IN FULL SWING,C M P I,BMW 325i,Yes,NA,23
"December 21, 2005",Phrase,NA,NA,POINT OF VIEW,M H P A,BMW 325i,No,NA,23
"December 22, 2005",Place,NA,NA,BOUTIQUE,M D P I,"$30,000",No,NA,23
"December 23, 2005",Rhyme Time,NA,NA,HODGEPODGE,C M P A,Infiniti FX35,No,NA,23
"December 26, 2005",Place,NA,NA,BUNGALOW,D P M A,Chevrolet HHR,No,NA,23
"December 27, 2005",Phrase,NA,NA,WAVE THE FLAG,H M B A,"$40,000",No,NA,23
"December 28, 2005",Living Thing,NA,NA,BABY'S BREATH,G D M A,Chevrolet HHR,No,NA,23
"December 29, 2005",Phrase,NA,NA,GIVE ME A HINT,M C P A,Chevrolet HHR,No,NA,23
"December 30, 2005",Person,NA,NA,HOMEBODY,C M P A,Chevrolet HHR,Yes,NA,23
"January 2, 2006",Phrase,NA,NA,A GREAT BUY,G C M A,Hummer H3,No,NA,23
"January 3, 2006",Phrase,NA,NA,WEARING TWO HATS,D G P O,Pontiac Solstice,No,NA,23
"January 4, 2006",Living Thing,NA,NA,HEIFER,B C D A,"$25,000",Yes,NA,23
"January 5, 2006",Thing,NA,NA,PAY STUB,M D B A,Hummer H3,No,NA,23
"January 6, 2006",Phrase,NA,NA,AHEAD OF THE CURVE,D M B A,Hummer H3,No,NA,23
"January 9, 2006",On the Menu,NA,NA,RHUBARB PIE,P G M I,"$35,000",No,NA,23
"January 10, 2006",Phrase,NA,NA,I’VE GOT A HUNCH,G M C O,Nissan Pathfinder,No,NA,23
"January 11, 2006",Phrase,NA,NA,WORTH THE RISK,P H Y U,Nissan Pathfinder,Yes,NA,23
"January 12, 2006",Occupation,NA,NA,FRY COOK,P C W I,Nissan Pathfinder,No,NA,23
"January 13, 2006",Thing,NA,NA,CURFEW,C D M A,"$40,000",No,NA,23
"January 16, 2006",Thing,NA,NA,A GUST OF WIND,B G H A,"$45,000",Yes,NA,23
"January 17, 2006",People,NA,NA,PEP SQUAD,D C B I,"$25,000",Yes,NA,23
"January 18, 2006",Thing,NA,NA,BEAR HUG,G F C A,"$25,000",Yes,NA,23
"January 19, 2006",Around the House,NA,NA,PHOTO ALBUM,H P C O,Chevrolet HHR,Yes,NA,23
"January 20, 2006",Living Thing,NA,NA,HOUSEFLY,C D G A,Audi A4,Yes,NA,23
"January 23, 2006",Phrase,NA,NA,FLAG ON THE PLAY,H C P A,Chevrolet SSR,Yes,NA,23
"January 24, 2006",Things,NA,NA,BRAINS AND BRAWN,B C P A,"$100,000",Yes,NA,23
"January 25, 2006",Thing,NA,NA,OLD RIVALRY,D V M O,Cadillac CTS,Yes,NA,23
"January 26, 2006",Phrase,NA,NA,SQUARING OFF,G K C A,"$25,000",No,NA,23
"January 27, 2006",Things,NA,NA,BANDAGES,P C D A,Cadillac CTS,Yes,NA,23
"January 30, 2006",In the Kitchen,NA,NA,HAND MIXER,C D P I,"$25,000",No,NA,23
"January 31, 2006",Phrase,NA,NA,I’M FLEXIBLE,M P D I,"$25,000",No,NA,23
"February 1, 2006",Phrase,NA,NA,JUST WING IT,G P D O,"$25,000",Yes,NA,23
"February 2, 2006",Thing,NA,NA,KNOWLEDGE,P V C I,Jeep Commander,No,NA,23
"February 3, 2006",Phrase,NA,NA,A BRIGHT FUTURE,M D P O,"$40,000",Yes,NA,23
"February 6, 2006",Thing,NA,NA,RISKY MOVE,D M H A,"$100,000",Yes,NA,23
"February 7, 2006",Phrase,NA,NA,BUNDLE OF JOY,C M D O,"$50,000",Yes,NA,23
"February 8, 2006",Phrase,NA,NA,LAUGH IT OFF,M H D A,"$25,000",No,NA,23
"February 9, 2006",Phrase,NA,NA,I APOLOGIZE,C D H A,"$25,000",No,NA,23
"February 10, 2006",Fun & Games,NA,NA,MIXED DOUBLES,D F M A,"$25,000",No,NA,23
"February 13, 2006",Thing,NA,NA,PATIO COVER,M C H A,Mercedes,No,NA,23
"February 14, 2006",Phrase,NA,NA,A HEALTHY GLOW,M P Y O,"$30,000",No,NA,23
"February 15, 2006",Living Thing,NA,NA,FLAMINGO,D C H A,"$30,000",No,NA,23
"February 16, 2006",In the Kitchen,NA,NA,JUICE BOX,H C M O,"$100,000",No,NA,23
"February 17, 2006",Thing,NA,NA,A SKIMPY BIKINI,D G M I,"$30,000",Yes,NA,23
"February 20, 2006",Person,NA,NA,BIRTHDAY BOY,B G M O,"$25,000",Yes,NA,23
"February 21, 2006",Classic TV,NA,NA,MIAMI VICE,I C P D,"$25,000",Yes,NA,23
"February 22, 2006",Phrase,NA,NA,WALK THE PLANK,H D G O,"$30,000",No,NA,23
"February 23, 2006",Phrase,NA,NA,A FAIR SHAKE,F G C A,"$25,000",Yes,NA,23
"February 24, 2006",Things,NA,NA,HOURLY WAGES,G C M O,"$30,000",No,NA,23
"February 27, 2006",Thing,NA,NA,GROUP HUG,C P G A,Land Rover,Yes,NA,23
"February 28, 2006",Thing,NA,NA,KNOW-HOW,D M P O,"$100,000",Yes,NA,23
"March 1, 2006",Thing,NA,NA,MOVIE TRIVIA,H D M A,Porsche,Yes,NA,23
"March 2, 2006",On the Map,NA,NA,DUBUQUE IOWA,P M C A,Land Rover,No,NA,23
"March 3, 2006",Phrase,NA,NA,I MISJUDGED YOU,D B M A,Land Rover,No,NA,23
"March 6, 2006",Phrase,NA,NA,MAKING A FUSS,P M K A,"$30,000",Yes,NA,23
"March 7, 2006",Person,NA,NA,SIBLING,C D M O,"$40,000",No,NA,23
"March 8, 2006",On the Map,NA,NA,TAHITI,M B D A,"$45,000",Yes,NA,23
"March 9, 2006",Thing,NA,NA,COPYRIGHT,D C P A,Mini Cooper,No,NA,23
"March 10, 2006",Phrase,NA,NA,FORCE OF HABIT,C H D A,"$35,000",Yes,NA,23
"March 13, 2006",Phrase,NA,NA,MAKING WAVES,G D C I,Jeep Wrangler,No,NA,23
"March 14, 2006",Phrase,NA,NA,ON MY BEHALF,M D C I,"$100,000",No,NA,23
"March 15, 2006",Phrase,NA,NA,PAVING THE WAY,M K D I,Saab 9-3 Convertible,Yes,NA,23
"March 16, 2006",Thing,NA,NA,SYMPHONY,C D K I,"$50,000",No,NA,23
"March 17, 2006",Things,NA,NA,GOLD COINS,B D M O,Jeep Wrangler,Yes,NA,23
"March 20, 2006",On the Map,NA,NA,PUEBLO,D B M O,Lexus,Yes,NA,23
"March 21, 2006",Phrase,NA,NA,GOING DUTCH,D M C A,Lexus,Yes,NA,23
"March 22, 2006",Phrase,NA,NA,IN THE GROOVE,H C G I,Lexus,Yes,NA,23
"March 23, 2006",Rhyme Time,NA,NA,SKY-HIGH,B D M A,"$25,000",No,NA,23
"March 24, 2006",Event,NA,NA,MATH QUIZ,H M G O,"$25,000",Yes,NA,23
"March 27, 2006",Phrase,NA,NA,FLUFF AND FOLD,D C B A,"$25,000",No,NA,23
"March 28, 2006",Event,NA,NA,GIVING BLOOD,K Y C O,Volvo,No,NA,23
"March 29, 2006",Things,NA,NA,HOUSEHOLD CHORES,H C D O,"$25,000",Yes,NA,23
"March 30, 2006",On the Map,NA,NA,KUWAIT,D C M I,Volvo,No,NA,23
"March 31, 2006",Thing,NA,NA,YOUNG LOVE,C K M A,Nissan Infinity,No,NA,23
"April 3, 2006",Phrase,NA,NA,JUST FOCUS,M P C U,Chevrolet HHR,Yes,NA,23
"April 4, 2006",Event,NA,NA,BLOWING A FUSE,H G I C,"$50,000",No,NA,23
"April 5, 2006",Phrase,NA,NA,BODY LANGUAGE,G B M I,Jeep Commander,No,NA,23
"April 6, 2006",Thing,NA,NA,FISHHOOK,C D H O,Chevrolet HHR,No,NA,23
"April 7, 2006",Show Biz,NA,NA,JAZZ GUITAR,A C D M,Jeep Commander,No,NA,23
"April 10, 2006",Things,NA,NA,VALUABLES,M D G A,Jaguar X-Type,No,NA,23
"April 11, 2006",On the Map,NA,NA,BOLIVIA,M D P A,"$40,000",Yes,NA,23
"April 12, 2006",Living Thing,NA,NA,BULLFROG,D M C O,"$25,000",No,NA,23
"April 13, 2006",Phrase,NA,NA,I GAVE MY WORD,H C M I,Mini Cooper,No,NA,23
"April 14, 2006",Around the House,NA,NA,DOOR HINGE,D C H O,Jeep Wrangler,Yes,NA,23
"April 17, 2006",Thing,NA,NA,HEAVY WORKLOAD,D M B A,"$25,000",No,NA,23
"April 18, 2006",Phrase,NA,NA,A GOOD FIT,C H W A,"$25,000",Yes,NA,23
"April 19, 2006",Phrase,NA,NA,BRIEF ME,BMKA,"$30,000",No,NA,23
"April 20, 2006",Things,NA,NA,HOBBIES,P D C O,"$50,000",No,NA,23
"April 21, 2006",Phrase,NA,NA,QUITE A JOLT,C G M A,"$30,000",No,NA,23
"April 24, 2006",Person,NA,NA,CIVIL WAR BUFF,F D C A,"$25,000",No,NA,23
"April 25, 2006",Fictional Characters,NA,NA,GOOFY & PLUTO,P C D O,"$30,000",Yes,NA,23
"April 26, 2006",Phrase,NA,NA,HIGH MARKS,B C D I,"$30,000",No,NA,23
"April 27, 2006",Phrase,NA,NA,THICK AND JUICY,D G M O,Winnebago,No,NA,23
"April 28, 2006",Thing,NA,NA,BUBBLE WRAP,M D A C,"$100,000",No,NA,23
"May 1, 2006",Thing,NA,NA,TOUGH BREAK,H C P A,"$30,000",No,NA,23
"May 2, 2006",Phrase,NA,NA,HALF-OFF,B M C A,"$30,000",No,NA,23
"May 3, 2006",Phrase,NA,NA,DON'T GIVE UP,D P M O,"$40,000",Yes,NA,23
"May 4, 2006",Event,NA,NA,HAVING A BABY,G C D I,"$25,000",No,NA,23
"May 5, 2006",Phrase,NA,NA,JOIN HANDS,D P M A,"$30,000",No,NA,23
"May 8, 2006",Phrase,NA,NA,NO EASY FIX,O Y C D,"$45,000",No,NA,23
"May 9, 2006",Phrase,NA,NA,I BEG TO DIFFER,O M D H,"$30,000",No,NA,23
"May 10, 2006",In the Kitchen,NA,NA,BAKING DISH,D C B A,"$25,000",Yes,NA,23
"May 11, 2006",Phrase,NA,NA,JUMBO-SIZE,H C D O,"$30,000",No,NA,23
"May 12, 2006",Place,NA,NA,YOGA STUDIO,C D G O,"$30,000",Yes,NA,23
"May 15, 2006",Phrase,NA,NA,BACK IN A FLASH,C G M A,"$100,000",Yes,NA,23
"May 16, 2006",Thing,NA,NA,PLUMBING,B H M O,"$30,000",No,NA,23
"May 17, 2006",Place,NA,NA,BIKE SHOP,P M C A,Jeep Commander,Yes,NA,23
"May 18, 2006",Thing,NA,NA,FEAR OF HEIGHTS,P C H O,"$30,000",Yes,NA,23
"May 19, 2006",Things,NA,NA,HAZY SKIES,H M C O,"$30,000",No,NA,23
"May 22, 2006",People,NA,NA,YOUNG HIP CROWD,M G F A,"$45,000",No,NA,23
"May 23, 2006",Thing,NA,NA,A QUICK BITE,C K M A,"$25,000",No,NA,23
"May 24, 2006",Person,NA,NA,DOG SHOW JUDGE,C W D I,"$25,000",Yes,NA,23
"May 25, 2006",Thing,NA,NA,NIGHT JOB,G H O D,"$30,000",No,NA,23
"May 26, 2006",Fun & Games,NA,NA,JACK OF CLUBS,C G M A,Ford Explorer,No,NA,23
"May 29, 2006",Things,NA,NA,JOB SKILLS,K D C U,"$25,000",No,NA,23
"May 30, 2006",Thing,NA,NA,INSIGNIA,P G D A,Audi A4,Yes,NA,23
"May 31, 2006",People,NA,NA,YOUTH CHORUS,C H M A,"$40,000",Yes,NA,23
"June 1, 2006",On the Map,NA,NA,MOUNT FUJI,C D M A,"$30,000",Yes,NA,23
"June 2, 2006",Thing,NA,NA,HOUSEWORK,D M G O,"$25,000",Yes,NA,23
"June 5, 2006",Phrase,NA,NA,GOING HALFWAY,D M H O,"$45,000",No,NA,23
"June 6, 2006",Phrase,NA,NA,A MIXED BAG,D M C I,Infiniti G35,Yes,NA,23
"June 8, 2006",Thing,NA,NA,WAVY HAIR,C D P A,"$30,000",No,NA,23
"June 8, 2006",Thing,NA,NA,PUBLICITY,H C B A,"$45,000",No,NA,23
"June 9, 2006",Phrase,NA,NA,BY DESIGN,D M P I,"$30,000",Yes,NA,23
"September 11, 2006",Things,NA,NA,BIG PROFITS,C M P O,"$30,000",Yes,NA,24
"September 12, 2006",Phrase,NA,NA,EBB AND FLOW,D B G A,"$30,000",Yes,NA,24
"September 13, 2006",On the Map,NA,NA,WICHITA,M G P A,"$25,000",Yes,NA,24
"September 14, 2006",Person,NA,NA,TOUGH GUY,D H M A,"$25,000",No,NA,24
"September 15, 2006",Thing,NA,NA,FUEL GAUGE,C D M O,"$25,000",Yes,NA,24
"September 18, 2006",Phrase,NA,NA,HAVE FAITH,B D M O,Pontiac Solstice,No,NA,24
"September 19, 2006",Place,NA,NA,ORANGE GROVE,P C M O,"$25,000",Yes,NA,24
"September 20, 2006",Person,NA,NA,QUICK STUDY,M B J A,Pontiac Solstice,No,NA,24
"September 21, 2006",Event,NA,NA,MAKING A VOW,B C M A,"$25,000",No,NA,24
"September 22, 2006",Place,NA,NA,SUBURB,P M D A,"$50,000",No,NA,24
"September 25, 2006",Things,NA,NA,COWBOY BOOTS,C M H A,"$35,000",No,NA,24
"September 26, 2006",Living Thing,NA,NA,FICUS,C D M I,Jeep Liberty,Yes,NA,24
"September 27, 2006",Place,NA,NA,THE FAIRWAY,C P M A,"$25,000",No,NA,24
"September 28, 2006",Thing,NA,NA,WAVE GOODBYE,C M D O,"$45,000",No,NA,24
"September 29, 2006",Thing,NA,NA,YARD WORK,D G M O,Jeep Liberty,Yes,NA,24
"October 2, 2006",Phrase,NA,NA,TAKE A WHIFF,P C B A,"$30,000",No,NA,24
"October 3, 2006",Phrase,NA,NA,IT WAS A FLUKE,W C G I,"$30,000",No,NA,24
"October 4, 2006",Person,NA,NA,FUSSY BABY,C M G A,"$30,000",No,NA,24
"October 5, 2006",Thing,NA,NA,HINDSIGHT,C M D A,Volkswagen Beetle,No,NA,24
"October 6, 2006",On the Map,NA,NA,SAGINAW,D Y P A,"$30,000",No,NA,24
"October 9, 2006",Fictional Characters,NA,NA,BASHFUL & DOPEY,H D M A,"$50,000",Yes,NA,24
"October 10, 2006",Thing,NA,NA,BLOOD TYPE,C G M A,"$100,000",No,NA,24
"October 11, 2006",Thing,NA,NA,GOLF VISOR,C H B I,Nissan Pathfinder,No,NA,24
"October 12, 2006",Phrase,NA,NA,HEAVE-HO,B C D A,Nissan Pathfinder,Yes,NA,24
"October 13, 2006",Phrase,NA,NA,WAFER-THIN,G B F O,"$50,000",Yes,NA,24
"October 16, 2006",People,NA,NA,OHIOANS,F M D A,"$30,000",No,NA,24
"October 17, 2006",Food & Drink,NA,NA,HOT WINGS,C B M A,"$25,000",Yes,NA,24
"October 18, 2006",Things,NA,NA,FIGURINES,I M F B,"$30,000",Yes,NA,24
"October 19, 2006",On the Map,NA,NA,HAMBURG,M P F O,Audi A3,No,NA,24
"October 20, 2006",Phrase,NA,NA,SHOCK VALUE,H F M I,"$40,000",No,NA,24
"October 23, 2006",Place,NA,NA,PUMPKIN PATCH,C D M A,"$25,000",Yes,NA,24
"October 24, 2006",Thing,NA,NA,QUICK PACE,M F P U,Honda Element,No,NA,24
"October 25, 2006",Phrase,NA,NA,SHOWING OFF,P G C A,"$30,000",No,NA,24
"October 26, 2006",Thing,NA,NA,BAD JOKE,A C M P,"$40,000",No,NA,24
"October 27, 2006",Things,NA,NA,COOL GADGETS,A M H C,"$50,000",No,NA,24
"October 30, 2006",Phrase,NA,NA,HOW LUCKY,D G M A,"$50,000",No,NA,24
"October 31, 2006",On the Map,NA,NA,URUGUAY,C D H A,"$30,000",No,NA,24
"November 1, 2006",Thing,NA,NA,VIVID DREAM,D M B A,"$30,000",No,NA,24
"November 2, 2006",Phrase,NA,NA,BOYISH CHARM,D H P I,"$35,000",No,NA,24
"November 3, 2006",Thing,NA,NA,JOB OFFER,G B D O,Pair of Hummer H3s,Yes,NA,24
"November 6, 2006",Things,NA,NA,GLAZED POTS,F P B O,Cadillac CTS,Yes,NA,24
"November 7, 2006",Place,NA,NA,DUGOUT,M D P I,"$25,000",Yes,NA,24
"November 8, 2006",Event,NA,NA,JULY FOURTH,C D M A,GMC Yukon,No,NA,24
"November 9, 2006",Thing,NA,NA,BACK PAGE,H G B A,"$35,000",No,NA,24
"November 10, 2006",Thing,NA,NA,HUMILITY,M D G A,Cadillac CTS,No,NA,24
"November 13, 2006",Thing,NA,NA,MAHOGANY DOOR,D M G O,"$30,000",No,NA,24
"November 14, 2006",Phrase,NA,NA,TOUGH BUT FAIR,C D M A,"$30,000",No,NA,24
"November 15, 2006",Phrase,NA,NA,GIVE ME A HUG,M K B I D,"$30,000",Yes,NA,24
"November 16, 2006",Thing,NA,NA,JEALOUSY,C D M A B,"$30,000",No,NA,24
"November 17, 2006",Thing,NA,NA,BRIEF OVERVIEW,C P M A,Pair of Chevrolet Tahoes,No,NA,24
"November 20, 2006",Phrase,NA,NA,WE GO WAY BACK,B C M A,"$30,000",No,NA,24
"November 21, 2006",On the Map,NA,NA,OSHKOSH,C H M A,Saturn Sky,Yes,NA,24
"November 22, 2006",Phrase,NA,NA,IN A HUFF,M H A D,Saturn Sky,No,NA,24
"November 23, 2006",Thing,NA,NA,VETO POWER,H M G A,"$25,000",No,NA,24
"November 24, 2006",Food & Drink,NA,NA,BROWN GRAVY,F D C A,Miata MX5,No,NA,24
"November 27, 2006",Phrase,NA,NA,BEING COY,G D M I,"$30,000",No,NA,24
"November 28, 2006",Food & Drink,NA,NA,SMOKED GOUDA,H D C A,"$30,000",No,NA,24
"November 29, 2006",Event,NA,NA,THE LONG JUMP,C G D A,"$30,000",No,NA,24
"November 30, 2006",Phrase,NA,NA,HEAVEN FORBID,C D H A,"$45,000",No,NA,24
"December 1, 2006",Thing,NA,NA,FOOLISH PRIDE,P H B A,"$50,000",No,NA,24
"December 4, 2006",Phrase,NA,NA,WARM AND FUZZY,M B G O,"$30,000",No,NA,24
"December 5, 2006",Proper Name,NA,NA,GOLDIE HAWN,D G C O,"$100,000",Yes,NA,24
"December 6, 2006",Phrase,NA,NA,YOU'VE GROWN UP,Y G P O W,Mustang convertible,Yes,NA,24
"December 7, 2006",On the Map,NA,NA,HOBOKEN,D H C I,Mustang convertible,Yes,NA,24
"December 8, 2006",Phrase,NA,NA,VOUCH FOR ME,M P D O,"$50,000",No,NA,24
"December 11, 2006",Phrase,NA,NA,TWO OF A KIND,G M D A,Saab,No,NA,24
"December 12, 2006",Things,NA,NA,WOOL GLOVES,B D C U,"$30,000",No,NA,24
"December 13, 2006",Phrase,NA,NA,CRYING WOLF,M P D O,Volvo,No,NA,24
"December 14, 2006",Thing,NA,NA,FUN HOBBY,D G P O,"$25,000",No,NA,24
"December 15, 2006",Living Thing,NA,NA,HEDGEHOG,C D M I,"$25,000",No,NA,24
"December 18, 2006",Phrase,NA,NA,HOT AND HUMID,C M B A,"$30,000",No,NA,24
"December 19, 2006",Phrase,NA,NA,WORD OF MOUTH,M F G O,Winnebago,Yes,NA,24
"December 20, 2006",Thing,NA,NA,A TIGHT GRIP,C M O D,"$45,000",No,NA,24
"December 21, 2006",Thing,NA,NA,FAMILY BUDGET,M J H O,Winnebago,No,NA,24
"December 22, 2006",Song Lyrics,NA,NA,I DID IT MY WAY,C D P O,Winnebago,No,NA,24
"December 25, 2006",Food & Drink,NA,NA,CHABLIS,C D P A,"$25,000",No,NA,24
"December 26, 2006",Things,NA,NA,HIGH HOPES,C H M O,Dodge Nitro,Yes,NA,24
"December 27, 2006",On the Map,NA,NA,IOWA CITY,C M H A G,Infiniti,Yes,NA,24
"December 28, 2006",Thing,NA,NA,DUNE BUGGY,P C M O,"$30,000",No,NA,24
"December 29, 2006",Food & Drink,NA,NA,FUDGE CAKE,B C D A,Dodge Nitro,Yes,NA,24
"January 1, 2007",Phrase,NA,NA,I APPROVE,M H C A,Jaguar X-Type,Yes,NA,24
"January 2, 2007",Event,NA,NA,BUYING BOOKS,B D M A,Jaguar X-Type,No,NA,24
"January 3, 2007",Thing,NA,NA,A BIG HINT,G D M A,"$30,000",Yes,NA,24
"January 4, 2007",Event,NA,NA,HUGE OVATION,C D G A,"$30,000",No,NA,24
"January 5, 2007",Thing,NA,NA,KEYPAD,C D M O,Jaguar X-Type,No,NA,24
"January 8, 2007",Thing,NA,NA,SOLID ALIBI,D M C A,"$30,000",No,NA,24
"January 9, 2007",Phrase,NA,NA,GIVE ME A BREAK,B C M O,"$25,000",Yes,NA,24
"January 10, 2007",On the Map,NA,NA,PARK CITY UTAH,P W M O,BMW Z3,No,NA,24
"January 11, 2007",Thing,NA,NA,BEIGE JACKET,C B F A,Mustang,Yes,NA,24
"January 12, 2007",Things,NA,NA,FLEXIBLE HOURS,M B D A,"$30,000",No,NA,24
"January 15, 2007",Thing,NA,NA,MAILBOX,M H P A,"$30,000",No,NA,24
"January 16, 2007",Phrase,NA,NA,WIT & WISDOM,C P M O,"$50,000",Yes,NA,24
"January 17, 2007",Phrase,NA,NA,LOOK SHARP,D M P A,"$25,000",No,NA,24
"January 18, 2007",Phrase,NA,NA,POKING FUN,M C D I,"$30,000",No,NA,24
"January 19, 2007",Phrase,NA,NA,BADGE OF HONOR,D H P A,"$25,000",Yes,NA,24
"January 22, 2007",Phrase,NA,NA,WORK OUT THE KINKS,M D C O,"$50,000",No,NA,24
"January 23, 2007",Phrase,NA,NA,GOOD POINT,C M D A,"$25,000",No,NA,24
"January 24, 2007",Food & Drink,NA,NA,CRISPY BACON,P C W O,"$30,000",Yes,NA,24
"January 25, 2007",Phrase,NA,NA,DEAD GIVEAWAY,D M G I,"$30,000",Yes,NA,24
"January 26, 2007",Person,NA,NA,GOURMET COOK,C D H A,"$50,000",Yes,NA,24
"January 29, 2007",Thing,NA,NA,BABY SHAMPOO,D M H A P,"$30,000",No,NA,24
"January 30, 2007",Phrase,NA,NA,SHOW ME HOW,H M P A B,"$30,000",Yes,NA,24
"January 31, 2007",Food & Drink,NA,NA,GRAPE JUICE,G P M A,"$30,000",Yes,NA,24
"February 1, 2007",Thing,NA,NA,VOLUME KNOB,P C M A,Pair of Volkswagen GTIs,No,NA,24
"February 2, 2007",Event,NA,NA,FOOD FIGHT,P M C A,"$30,000",No,NA,24
"February 5, 2007",Thing,NA,NA,OFFBEAT HUMOR,C P M A,"$30,000",No,NA,24
"February 6, 2007",Event,NA,NA,BLOWING A KISS,P G C A,"$30,000",No,NA,24
"February 7, 2007",Thing,NA,NA,FLAGPOLE,G P B I H,Winnebago,Yes,NA,24
"February 8, 2007",Things,NA,NA,PIANO KEYS,F M P I G,"$30,000",No,NA,24
"February 9, 2007",Phrase,NA,NA,I GOT MY WISH,F H C A,"$25,000",Yes,NA,24
"February 12, 2007",Living Thing,NA,NA,SAGEBRUSH,C H M A,"$25,000",No,NA,24
"February 13, 2007",Thing,NA,NA,TANGY FLAVOR,C M P A,"$100,000",Yes,NA,24
"February 14, 2007",Phrase,NA,NA,TOUGH IT OUT,C K H O D,Porsche Boxster,Yes,NA,24
"February 15, 2007",People,NA,NA,BRAZILIANS,C B K A,"$25,000",Yes,NA,24
"February 16, 2007",Phrase,NA,NA,NOTIFY ME,M G C O,"$50,000",No,NA,24
